number,title,file
0114,Filter; filter vessel; strainer,poster/0114-filter-filter-vessel-strainer.png
0126,Disk centrifuge; disk separator,poster/0126-disk-centrifuge-disk-separator.png
0129,Crusher,poster/0129-crusher.png
0130,Mill,poster/0130-mill.png
0131,"Agitator, general",poster/0131-agitator-general.png
0133,"Kneaded, general",poster/0133-kneaded-general.png
0134,Pump; liquid pump,poster/0134-pump-liquid-pump.png
0135,Centrifugal pump,poster/0135-centrifugal-pump.png
0137,Compressor; vacuum pump,poster/0137-compressor-vacuum-pump.png
0138,"Rotary compressor, liquid-ring type; vacuum pump, liquid-ring type",poster/0138-rotary-compressor-liquid-ring-type-vacuum-pump-liquid-ring-t.png
0141,Pallet,poster/0141-pallet.png
0142,Tank car,poster/0142-tank-car.png
0143,"Scale, general",poster/0143-scale-general.png
0144,Proportioned for solids,poster/0144-proportioned-for-solids.png
0147,Electric motor,poster/0147-electric-motor.png
0149,Pile,poster/0149-pile.png
0150,Dump,poster/0150-dump.png
0151,Headlamp levelling control,poster/0151-headlamp-levelling-control.png
0154,Shut-off valve with safety function,poster/0154-shut-off-valve-with-safety-function.png
0157,Drains trap,poster/0157-drains-trap.png
0159,Level,poster/0159-level.png
0160,Calibration,poster/0160-calibration.png
0161,Test barrier,poster/0161-test-barrier.png
0162,Raising,poster/0162-raising.png
0163,Raising in direction of cloth,poster/0163-raising-in-direction-of-cloth.png
0164,Raising against direction of cloth,poster/0164-raising-against-direction-of-cloth.png
0165,Beating process of fabrics,poster/0165-beating-process-of-fabrics.png
0166,Polishing process of fabrics,poster/0166-polishing-process-of-fabrics.png
0167,Adjustment of pile height,poster/0167-adjustment-of-pile-height.png
0168,Rotation of raising cylinder with direction of cloth,poster/0168-rotation-of-raising-cylinder-with-direction-of-cloth.png
0169,Rotation of raising cylinder against direction of cloth,poster/0169-rotation-of-raising-cylinder-against-direction-of-cloth.png
0170,Brushing by means of cross-brush,poster/0170-brushing-by-means-of-cross-brush.png
0171,Adjustment of cloth rest,poster/0171-adjustment-of-cloth-rest.png
0172,Rope uncurling,poster/0172-rope-uncurling.png
0173,Tighten chain; tighten belt,poster/0173-tighten-chain-tighten-belt.png
0174,Slacken chain; slacken belt,poster/0174-slacken-chain-slacken-belt.png
0175,Temperature control,poster/0175-temperature-control.png
0176,Level control,poster/0176-level-control.png
0177,Weft adjusting; stitch row straightening,poster/0177-weft-adjusting-stitch-row-straightening.png
0178,Weft control; stitch row control,poster/0178-weft-control-stitch-row-control.png
0179,Roller engaged,poster/0179-roller-engaged.png
0180,Roller disengaged,poster/0180-roller-disengaged.png
0181,Admixture,poster/0181-admixture.png
0182,Thermostat,poster/0182-thermostat.png
0183,Pressure gauge,poster/0183-pressure-gauge.png
0184,Roll on board,poster/0184-roll-on-board.png
0185,Spark coil-ignition element,poster/0185-spark-coil-ignition-element.png
0186,Cloth stack,poster/0186-cloth-stack.png
0187,Lifting of the plaiting table,poster/0187-lifting-of-the-plaiting-table.png
0188,Lowering of the plaiting table,poster/0188-lowering-of-the-plaiting-table.png
0189,Move the plaiting blade,poster/0189-move-the-plaiting-blade.png
0190,Reduction of the length of layer,poster/0190-reduction-of-the-length-of-layer.png
0191,Enlargement of the length of layer,poster/0191-enlargement-of-the-length-of-layer.png
0192,Marking fold protrusion,poster/0192-marking-fold-protrusion.png
0193,Stack height limit,poster/0193-stack-height-limit.png
0194,Rollers,poster/0194-rollers.png
0195,Disengagement of rollers,poster/0195-disengagement-of-rollers.png
0196,Release roller contact pressure,poster/0196-release-roller-contact-pressure.png
0197,Engage lower roller contact,poster/0197-engage-lower-roller-contact.png
0198,Engage upper roller contact,poster/0198-engage-upper-roller-contact.png
0199,Rollers with internal pressure,poster/0199-rollers-with-internal-pressure.png
0200,"Rollers with internal pressure, pressing/loading",poster/0200-rollers-with-internal-pressure-pressing-loading.png
0201,Ends of rollers,poster/0201-ends-of-rollers.png
0202,Pressure on left-hand ends of rollers,poster/0202-pressure-on-left-hand-ends-of-rollers.png
0203,Pressure on right-hand ends of rollers,poster/0203-pressure-on-right-hand-ends-of-rollers.png
0204,Compensation of dead- weight of upper roller,poster/0204-compensation-of-dead-weight-of-upper-roller.png
0205,Compensation of dead- weight of left-hand end of upper roller,poster/0205-compensation-of-dead-weight-of-left-hand-end-of-upper-roller.png
0206,Compensation of dead-weight of right-hand end of upper roller,poster/0206-compensation-of-dead-weight-of-right-hand-end-of-upper-rolle.png
0207,Lamination,poster/0207-lamination.png
0208,Winding side guide,poster/0208-winding-side-guide.png
0209,Guide-roller control,poster/0209-guide-roller-control.png
0210,Guide-roller forwards,poster/0210-guide-roller-forwards.png
0211,Guide-roller backwards,poster/0211-guide-roller-backwards.png
0212,Winding and cutting,poster/0212-winding-and-cutting.png
0213,Half-width winding,poster/0213-half-width-winding.png
0214,Cloth scray,poster/0214-cloth-scray.png
0215,Fill the cloth scray,poster/0215-fill-the-cloth-scray.png
0216,Empty the cloth scray,poster/0216-empty-the-cloth-scray.png
0217,Inspection table,poster/0217-inspection-table.png
0218,Raise inspection table,poster/0218-raise-inspection-table.png
0219,Lower inspection table,poster/0219-lower-inspection-table.png
0220,Cloth track temperature,poster/0220-cloth-track-temperature.png
0221,Cloth track humidity,poster/0221-cloth-track-humidity.png
0222,Rinse,poster/0222-rinse.png
0223,Cloth track speed compensation,poster/0223-cloth-track-speed-compensation.png
0224,Measure humidity,poster/0224-measure-humidity.png
0225,Cloth track steaming,poster/0225-cloth-track-steaming.png
